Task ID	Task	Verb	Object Original	Noun Path	Object	Purpose	Method
20981	Monitor progress of drilling operations, and select and change drill bits according to the nature of strata, using hand tools.	select	bits	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > rotating_mechanism.n.01 > cam.n.02	cam.n.02		according to the nature of strata
14661	Select and attach drill bits and drill rods, adding more rods as hole depths increase, and changing drill bits as needed.	select	bits	entity.n.01 > abstraction.n.06 > communication.n.02 > visual_communication.n.01 > chart.n.01	chart.n.01		
12973	Select knives, saws, blades, cutter heads, cams, bits, or belts, according to workpiece, machine functions, or product specifications.	select	bits	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > cutter.n.06 > edge_tool.n.01 > chisel.n.01	chisel.n.01		according to workpiece, machine functions, or product specifications
11081	Select and fasten bulldozer blades or other attachments to tractors, using hitches.	select	blades	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > holding_device.n.01 > chuck.n.03	chuck.n.03		
16805	Select and install blades, tools, or other attachments for each operation.	select	blades	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > fabric.n.01	fabric.n.01	for each operation	
12973	Select knives, saws, blades, cutter heads, cams, bits, or belts, according to workpiece, machine functions, or product specifications.	select	blades	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.04 > coding_system.n.01 > code.n.03	code.n.03		according to workpiece, machine functions, or product specifications
15346	Select saw blades, types or grades of stock, or cutting procedures to be used, according to work orders or supervisors' instructions.	select	blades	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > structure.n.01 > coil.n.01	coil.n.01		according to work orders or supervisors' instructions
1999	Select lens blanks, molds, tools, and polishing or grinding wheels, according to production specifications.	select	blanks	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > visual_property.n.01 > color.n.01	color.n.01		according to production specifications
22820	Select, order, or administer anesthetics, adjuvant drugs, accessory drugs, fluids or blood products as necessary.	select	blood	entity.n.01 > abstraction.n.06 > group.n.01 > social_group.n.01 > organization.n.01 > institution.n.01 > company.n.01	company.n.01		as necessary
7697	Select and assemble books, materials, supplies, and equipment for training, courses, or projects.	select	books	entity.n.01 > physical_entity.n.01 > object.n.01 > part.n.02 > component.n.03	component.n.03		
8602	Select plays, scripts, books, news content, or ideas to be produced.	select	books	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > content.n.05 > idea.n.01 > concept.n.01 > whole.n.01 > compound.n.01	compound.n.01		
18390	Select, order, and issue books, materials, and supplies for courses or projects.	select	books	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > adviser.n.01	adviser.n.01	for courses or projects	
12973	Select knives, saws, blades, cutter heads, cams, bits, or belts, according to workpiece, machine functions, or product specifications.	select	cams	entity.n.01 > abstraction.n.06 > communication.n.02 > message.n.02	message.n.02		according to workpiece, machine functions, or product specifications
14556	Select photographs, drawings, sketches, diagrams, and charts to illustrate material.	select	charts	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > party.n.05 > contractor.n.03 > builder.n.03 > contractor.n.01	contractor.n.01	to illustrate material	
10581	Select chisels, pneumatic or surfacing tools, or sandblasting nozzles, and determine sequence of use.	select	chisels	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > agent.n.03 > coolant.n.01	coolant.n.01		
23133	Select rolls, dies, roll stands, and chucks from data charts to form specified contours and to fabricate products.	select	chucks	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > line.n.18 > cord.n.01	cord.n.01		from data charts
6937	Select precut fiberglass mats, cloth, and wood-bracing materials as required by projects being assembled.	select	cloth	entity.n.01 > abstraction.n.06 > measure.n.02 > system_of_measurement.n.01 > standard.n.01	standard.n.01		according to projects being assembled
17253	Select and enter codes to monitor database performance and to create production databases.	select	codes	entity.n.01 > abstraction.n.06 > communication.n.02 > message.n.02 > information.n.01 > course_of_study.n.01	course_of_study.n.01	to monitor database performance	
2023	Select torch tips, alloys, flux, coil, tubing, or wire, according to metal types or thicknesses, data charts, or records.	select	coil	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > cutter.n.06	cutter.n.06		according to metal types or thicknesses, data charts, or records
11987	Select appropriate imaging techniques or coils to produce required images.	select	coils	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > magnitude.n.01 > extent.n.02 > depth.n.01	depth.n.01	to produce required images	
1856	Select the type or color of glass or mirror according to specifications.	select	color	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > creation.n.01 > creating_by_mental_acts.n.01 > design.n.01	design.n.01		according to specifications
15509	Select number of colors and determine color separations.	select	colors	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01	device.n.01		
1856	Select themes, lighting, colors, or props to be used.	select	colors	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > drawing.n.02 > diagram.n.01	diagram.n.01		
23453	Select company that offers type of coverage requested by client to underwrite policy.	select	company	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > shaping_tool.n.01 > die.n.02	die.n.02		that offers type of coverage requested by client to underwrite policy
3556	Select and install machine components, such as cutting blades, rollers, and templates, according to specifications, using hand tools.	select	components	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.02 > document.n.01	document.n.01		according to specifications
4179	Select and install machine components, such as dies, molds, and cutters, according to specifications, using hand tools and measuring devices.	select	components	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > situation.n.01 > environment.n.01 > sphere.n.01	sphere.n.01		according to specifications
8039	Select electromechanical equipment, materials, components, or systems to meet functional specifications.	select	components	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > drawing.n.02	drawing.n.02	to meet functional specifications	
18419	Select electronics equipment, components, or systems to meet functional specifications.	select	components	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > drill.n.01	drill.n.01	to meet functional specifications	
13875	Select materials and components to be used, based on device design.	select	components	entity.n.01 > physical_entity.n.01 > process.n.06 > phenomenon.n.01 > natural_phenomenon.n.01 > physical_phenomenon.n.01 > atmospheric_phenomenon.n.01 > weather.n.01 > elements.n.01	elements.n.01		based on device design
18390	Select, install, and adjust machine components, including pressing forms, rollers, and guides, using hoists and hand tools.	select	components	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > worker.n.01 > employee.n.01	employee.n.01		
18445	Select the correct sealing compound or tape.	select	compound	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > equipment.n.01	equipment.n.01		
11833	Identify, review, or select vendors or consultants to meet project needs.	select	consultants	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > hand_tool.n.01 > file.n.04	file.n.04	to meet project needs	
8602	Select plays, scripts, books, news content, or ideas to be produced.	select	content	entity.n.01 > abstraction.n.06 > attribute.n.02 > quality.n.01 > appearance.n.01 > decorativeness.n.01 > coating.n.02	coating.n.02		
20757	Select program content, in conjunction with producers and assistants, based on factors such as program specialties, audience tastes, or requests from the public.	select	content	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > fixture.n.01	fixture.n.01		based on factors such as program specialties, audience tastes, or requests from the public
23027	Recruit or select wind operations employees, contractors, or subcontractors.	select	contractors	entity.n.01 > abstraction.n.06 > group.n.01 > collection.n.01 > vegetation.n.01	vegetation.n.01		
17130	Select or supervise contractors, such as event hosts or health, fitness, and wellness practitioners.	select	contractors	entity.n.01 > physical_entity.n.01 > matter.n.03 > fluid.n.02	fluid.n.02		
3985	Select coolants and lubricants, and start their flow.	select	coolants	entity.n.01 > abstraction.n.06 > relation.n.01 > magnitude_relation.n.01 > rate.n.01 > flux.n.01	flux.n.01		
1856	Select the proper coolants and lubricants and start their flow.	select	coolants	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > natural_object.n.01 > plant_part.n.01 > plant_organ.n.01 > leaf.n.01	leaf.n.01		
17484	Select thread, twine, cord, or yarn to be used, and thread needles.	select	cord	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > furnishing.n.02	furnishing.n.02		
9515	Select methods, techniques, or criteria for data warehousing evaluative procedures.	select	criteria	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > instrument.n.01 > measuring_instrument.n.01 > gauge.n.01	gauge.n.01	for data warehousing evaluative procedures	
22709	Select appropriate curricula or class structures for educational programs.	select	curricula	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > mechanical_device.n.01 > machine.n.04 > wheel.n.01 > gear.n.01	gear.n.01	to ensure educational effectiveness	
12973	Select knives, saws, blades, cutter heads, cams, bits, or belts, according to workpiece, machine functions, or product specifications.	select	cutter	entity.n.01 > physical_entity.n.01 > matter.n.03 > solid.n.01 > crystal.n.01 > gem.n.02	gem.n.02		according to workpiece, machine functions, or product specifications
16592	Select, clean, and install spacers, rubber sleeves, or cutters on arbors.	select	cutters	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > structure.n.01 > guide.n.06	guide.n.06		
16332	Select and set cutting speeds, feed rates, depths of cuts, and cutting tools, according to machining instructions or knowledge of metal properties.	select	depths	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > hardware.n.02	hardware.n.02		according to machining instructions or knowledge of metal properties
23130	Select cutting speeds, feed rates, and depths of cuts, applying knowledge of metal properties and shop mathematics.	select	depths	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.02 > matter.n.06 > text.n.01 > line.n.05 > heading.n.01	heading.n.01		applying knowledge of metal properties and shop mathematics
17173	Select mechanical designs, installation equipment, or installation plans that conform to environmental, architectural, structural, site, and code requirements.	select	designs	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > content.n.05 > idea.n.01	idea.n.01		that conform to environmental, architectural, structural, site, and code requirements
22993	Research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.	select	devices	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > picture.n.01	picture.n.01		
16611	Select or prepare artistic media or related equipment or devices to accomplish therapy session objectives.	select	devices	entity.n.01 > physical_entity.n.01 > matter.n.03 > substance.n.07 > food.n.01 > foodstuff.n.02 > ingredient.n.03	ingredient.n.03	to accomplish therapy session objectives	
14556	Select photographs, drawings, sketches, diagrams, and charts to illustrate material.	select	diagrams	entity.n.01 > abstraction.n.06 > communication.n.02 > message.n.02 > direction.n.06	direction.n.06		
1278	Determine setup procedures and select machine dies and parts, according to specifications.	select	dies	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > adult.n.01 > professional.n.01 > educator.n.01 > teacher.n.01	teacher.n.01		according to specifications
23133	Select rolls, dies, roll stands, and chucks from data charts to form specified contours and to fabricate products.	select	dies	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > musical_instrument.n.01	musical_instrument.n.01	to form specified contours	from data charts
21724	Select and edit documents for publication and display, applying knowledge of subject, literary expression, and presentation techniques.	select	documents	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > building_material.n.01 > insulating_material.n.01	insulating_material.n.01		applying knowledge of subject, literary expression, and presentation techniques
19465	Devise, select, or purchase domain name and web address.	select	domain	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > group_action.n.01 > transaction.n.01 > commerce.n.01 > commercial_enterprise.n.02 > finance.n.01 > investing.n.01	investing.n.01	to devise a suitable web address	
14556	Select photographs, drawings, sketches, diagrams, and charts to illustrate material.	select	drawings	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > item.n.03	item.n.03		
11209	Select the appropriate drill for the job, using knowledge of rock or soil conditions.	select	drill	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > jig.n.03	jig.n.03		using knowledge of rock or soil conditions
18390	Select, install, and adjust alignment of drills, cutters, dies, guides, and holding devices, using templates, measuring instruments, and hand tools.	select	drills	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > evaluator.n.01 > critic.n.02 > panelist.n.01 > juror.n.01	juror.n.01		using templates, measuring instruments, and hand tools
10581	Select cartographic elements needed for effective presentation of information.	select	elements	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > cutter.n.06 > edge_tool.n.01 > knife.n.01	knife.n.01	for effective presentation of information	
23027	Recruit or select wind operations employees, contractors, or subcontractors.	select	employees	entity.n.01 > abstraction.n.06 > communication.n.02 > language.n.01	language.n.01		
20475	Recruit, interview, and select employees.	select	employees	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > illumination.n.02 > light.n.09	light.n.09		
13614	Assemble studio sets and select and arrange cameras, film stock, audio, or lighting equipment to be used during filming.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > weight.n.04 > load.n.01	load.n.01		to be used during filming
8453	Design or select equipment for use in wastewater processing to ensure compliance with government standards.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > location.n.01	location.n.01	to ensure compliance with government standards	
8493	Maintain equipment inventories, and select, store, or issue equipment as needed.	select	equipment	entity.n.01 > physical_entity.n.01 > matter.n.03 > substance.n.07 > lubricant.n.01	lubricant.n.01		
16334	Select aerial photographic and remote sensing techniques and plotting equipment needed to meet required standards of accuracy.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > building_material.n.01 > lumber.n.01	lumber.n.01	to meet required standards of accuracy	
7697	Select and assemble books, materials, supplies, and equipment for training, courses, or projects.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > machine.n.01	machine.n.01		
22602	Select and assemble equipment and required background properties, according to subjects, materials, and conditions.	select	equipment	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > leader.n.01 > head.n.04 > administrator.n.01 > director.n.01	director.n.01		according to subjects, materials, and conditions
10197	Select and order or purchase new equipment, supplies, or furnishings.	select	equipment	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > material.n.01	material.n.01		
22532	Select and prepare medical equipment or medications to be taken to athletic competition sites.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > natural_object.n.01 > body.n.04 > mass.n.05 > mat.n.04	mat.n.04		
449	Select and use laboratory, operational, or diagnostic techniques or test equipment to assess electromechanical circuits, equipment, processes, systems, or subsystems.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > medium.n.01	medium.n.01	to assess electromechanical circuits, equipment, processes, systems, or subsystems	
10215	Select appropriate tools, safety equipment, and parts, according to job requirements.	select	equipment	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > communicator.n.01 > negotiator.n.01 > mediator.n.01	mediator.n.01		according to job requirements
23453	Select cleaning materials, tools, or equipment.	select	equipment	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > agent.n.03 > drug.n.01 > medicine.n.02	medicine.n.02		using cleaning standards
8039	Select electromechanical equipment, materials, components, or systems to meet functional specifications.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > commodity.n.01 > merchandise.n.01	merchandise.n.01	to meet functional specifications	
18419	Select electronics equipment, components, or systems to meet functional specifications.	select	equipment	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > chemical_element.n.01 > metallic_element.n.01	metallic_element.n.01	to meet functional specifications	
17173	Select mechanical designs, installation equipment, or installation plans that conform to environmental, architectural, structural, site, and code requirements.	select	equipment	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > ability.n.02 > know-how.n.01 > method.n.01	method.n.01		that conform to environmental, architectural, structural, site, and code requirements
1272	Select or adapt musical instruments, musical equipment, or non-musical materials, such as adaptive devices or visual aids, to meet treatment objectives.	select	equipment	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > happening.n.01 > union.n.09 > combining.n.01 > mix.n.02	mix.n.02	to meet treatment objectives	
15667	Select or devise materials-handling methods and equipment to transport ore, waste materials, and mineral products efficiently and economically.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > container.n.01 > mold.n.02	mold.n.02	to transport ore, waste materials, and mineral products efficiently and economically	
16611	Select or prepare artistic media or related equipment or devices to accomplish therapy session objectives.	select	equipment	entity.n.01 > abstraction.n.06 > communication.n.02 > auditory_communication.n.01 > music.n.01	music.n.01	to accomplish therapy session objectives	
2023	Select tools, equipment, or materials from storage and transport items to work site.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > opening.n.10 > spout.n.01 > nozzle.n.01	nozzle.n.01		from storage
20922	Select, acquire, store, and issue equipment and other materials as necessary.	select	equipment	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > magnitude.n.01 > amount.n.02 > number.n.01	number.n.01		
17929	Select, calibrate, or operate equipment used in the non-destructive testing of products or materials.	select	equipment	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01	part.n.01	for the non-destructive testing of products or materials	
409	Select, order, store, issue, and inventory classroom equipment, materials, and supplies.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > decoration.n.01 > design.n.04	design.n.04		
13685	Select, prepare, or use equipment, monitors, supplies, or drugs for the administration of anesthetics.	select	equipment	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > entertainer.n.01 > performer.n.01	performer.n.01		
22847	Select, purchase, set up, operate, or troubleshoot state-of-the-art laser cutting equipment.	select	equipment	entity.n.01 > abstraction.n.06 > group.n.01 > social_group.n.01 > organization.n.01 > force.n.04	force.n.04		according to state-of-the-art standards
22847	Select, store, order, issue, and inventory classroom equipment, materials, and supplies.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > photograph.n.01	photograph.n.01		
20157	Select, store, order, issue, inventory, and maintain classroom equipment, materials, and supplies.	select	equipment	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > way.n.06 > passage.n.03 > conduit.n.01 > tube.n.01 > pipe.n.02	pipe.n.02		
23744	Select files or other abrasives, according to materials, sizes and shapes of workpieces, amount of stock to be removed, finishes specified, and steps in finishing processes.	select	files	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > drawing.n.02 > plan.n.03	plan.n.03		according to materials, sizes and shapes of workpieces, amount of stock to be removed, finishes specified, and steps in finishing processes
2313	Select and purchase tools or finishes for surfaces to be covered, considering durability, ease of handling, methods of application, and customers' wishes.	select	finishes	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > sheet.n.06 > plate.n.11	plate.n.11		considering durability, ease of handling, methods of application, and customers' wishes
3065	Select, align, and bolt positioning fixtures, stops, and specified dies to rams and anvils, forging rolls, or presses and hammers.	select	fixtures	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.02 > dramatic_composition.n.01 > play.n.01	play.n.01		
23744	Select flora and foliage for arrangements, working with numerous combinations to synthesize and develop new creations.	select	flora	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > leader.n.01 > employer.n.01 > master.n.04 > postmaster.n.01	postmaster.n.01		working with numerous combinations
22820	Select, order, or administer anesthetics, adjuvant drugs, accessory drugs, fluids or blood products as necessary.	select	fluids	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > procedure.n.01	procedure.n.01		as necessary
10847	Select and install torches, torch tips, filler rods, and flux, according to welding chart specifications or types and thicknesses of metals.	select	flux	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > product.n.02	product.n.02		according to welding chart specifications or types and thicknesses of metals
2023	Select torch tips, alloys, flux, coil, tubing, or wire, according to metal types or thicknesses, data charts, or records.	select	flux	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > ability.n.02 > know-how.n.01 > method.n.01 > system.n.04 > program.n.02	program.n.02		according to metal types or thicknesses, data charts, or records
23744	Select flora and foliage for arrangements, working with numerous combinations to synthesize and develop new creations.	select	foliage	entity.n.01 > physical_entity.n.01 > object.n.01 > property.n.05	property.n.05		working with numerous combinations
10197	Select and order or purchase new equipment, supplies, or furnishings.	select	furnishings	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > capitalist.n.02 > businessperson.n.01 > supplier.n.01	supplier.n.01		
14695	Select or design, and purchase furnishings, art work, and accessories.	select	furnishings	entity.n.01 > abstraction.n.06 > measure.n.02	measure.n.02		
